,0
0,"Daniel A. Moura, Jose O. da Silva, Reginaldo S. dos Anjos e Lígia M. C. Sousa
A Importância da Informatização e da Acessibilidade para o Processo de Avaliação de Desempenho
na UFMT"
1,"João V. B. Viana, Delvan L. de Souza, Sandra A. R. dos Santos, Raphael P. Ferreira e Eunice P. dos S. Nunes
Analisa UFG - Plataforma de Análise de Dados da UFG "
2,"Victor G. Bento, Ricardo H. D. Borges, Rogério R. Carvalho e Dannyel C. Fonseca
Análise de dados da telefonia fixa e móvel com Pentaho"
3,"Luiz F. S. Arcenio
Aplicação de Testes Automáticos com Selenium WebDriver: Um Relato de Experiência no SIGAA"
4,"Alan B. de Pontes, Anne C. O. Rocha e Raphael F. de A. Patrício
Aplicativo Siga UFMG: Relato de Experiência no Centro de Computação da UFMG"
5,"Patrícia N. Silva e Rainer Couto
Avaliação do Uso da Internet sem fio pelos usuários da UFAM a partir do Reconhecimento de Entidades
no Twitter"
6,"Rodrigo A. Costa
Case de implantação modularizada do GLPI com foco na satisfação do usuário final"
7,"Elton P. Rosa
Caso de migração de telefonia: a partir de uma plataforma proprietária para uma solução VoIP com
software livre"
8,"Geovano L. Quatrin, Volnei D. Pol e Diego S. Junges
Catálogo de Serviços: facilitando o acesso aos serviços de TI dentro das Instituições
de Ensino Superior"
9,"Marcelo A. Santana, Italo C. L. Silva, Rômulo N. de Oliveira, Marcos J. F. Neto e João B. G. Silva
Da Virtual Machine ao Container as a Service: Tornando os Sistemas Integrados de Gestão compatíveis com
os novos paradigmas de computação em nuvem"
10,"Jeysibel de S. Dantas e Raphael F. de A. Patrício
Democratização do Acesso à Informação na UFS: APISistemas e Desenvolvimento Móvel Multiplataforma
com Flutter"
11,"Alan Passos e Leonardo Bezerra
Do Papel ao Digital Implantação de Sistema de Protocolo Digital"
12,"Marlos Ribeiro, Renato Mendes e Walter Santos
DWD12 - Um método para criação de senhas seguras e memorizáveis"
13,"Cárlisson B. T. Galdino, Rômulo N. de Oliveira e Raiela Quirino Lima
Entregando recursos para aplicações multiplataforma com a API UFRGS"
14,"Abel Corrêa Dias, Felipe Ávila dos Santos e Thiago Stein Motta
Ferramenta para facilitar a comunicação do Plano de Desenvolvimento Institucional"
15,"Ana Carla Macedo da Silva e Diogo Benassuly
Funcionalidade para logoff da autenticação do Firewall da Palo Alto na UFPI"
16,"Filipe S. Viana, Ênio R. Viana e Diego F. M. Oliveira
Gerenciamento de Logs: Implantação do Graylog como ferramenta de centralização de logs de dados na
Universidade Federal do Amazonas"
17,"Crisley P. Linhares, Gerson B. da Silva1, João G. A. Martinez, Vanderson da S. Rocha, Marckson M. da Silva, João B. L.
Carneiro
GESCON: Agilidade e transparência na gestão dos órgãos colegiados da universidade"
18,"Vanderlin A. P. Júnior, Alexsandro C. Carvalho e Lidiane C. Silva
Iftopper - Controle Dinâmico de Largura de Banda"
19,"Eduardo M. Monks e Jeronimô F. N. da Rosa
Implantação automatizada de sítios institucionais com uso de Docker, Git e Jenkins"
20,"João G. A. Martinez, Gérson B. da Silva e Diogo Soares
Implantação da rede sem fio na UFCA"
21,"Taciano P. de A Alcântara, Marcos I. F. M. da Silva e Herbert N. Onofre
Implantação do Serviço Eduroam na UFAM"
22,"Marckson M. da Silva, Vanderson da S. Rocha, Crisley P. Linhares, Gerson B. da Silva, João B. L. Carneiro e João G. A.
Martinez
Integração das Bases de Login e Senha dos Sistemas da Universidade de Brasília - UnB"
23,"Renato C. Ribeiro e Everton de V. Agilar
Integração entre LDAP e FreePBX para controle de autorização de chamadas"
24,"Eliézer de Siqueira e Weber S. R. Takaki
Melhoria Organizacional com Base no Grau de Felicidade dos Colaboradores"
25,"Teresa M. M. Maciel e Suzanna Sandes
Método Push de atribuição de tarefas utilizado no desenvolvimento de software por um time
autogerenciável"
26,"Danniel Rocha, Euclydes Melo, Luiz Fernando, Marcos Raniere, Matheus Souza e Taison Almeida
Moodle: Arquitetura redundante e escalável para alta demanda de acesso"
