,0
0,": Avaliação de desempenho. SCRUM. Acessibilidade.
"
1,": Business Inteligence, Pentaho.
"
2,": Testes de Software; Teste de Regressão; Testes Automáticos;
"
3,": Aplicativo. React Native. Siga UFMG.
"
4,": glpi, atendimento, suporte, usabilidade, catálogo de serviços
"
5,": SIP, VoIP, Telefonia, Asterisk, Voz sobre IP.
"
6,": Governança, ITIL, Service Desk.
"
7,": Desenvolvimento móvel, Desenvolvimento móvel multiplataforma, Flutter, Frameworks 
multiplataforma.
"
8,": Diceware, senhas, geração de senhas, segurança, passphrases.
"
9,". Sistemas de informação, Plano de Desenvolvimento Institucional
"
10,": Graylog, logs, rede, centralização, gerenciamento.
"
11,": órgãos colegiados, transparência, controle de mandatos.
"
12,": sítios, infraestrutura, automação, docker, git, jenkins.
"
13,": rede sem fio, CAFe, Eduroam, identidade única.
"
14,": Telefonia VoIP; LDAP; FreePBX.
"
15,": melhoria organizacional, medição da satisfação
"
16,": Autogestão, Engenharia de Software, Atribuição de Tarefas.
"
17,": PHP, Moodle, Apache, MySQL, EAD.
"
18,": gerenciamento de tráfego de rede, traffic control.
"
19,". Project Model Canvas; Gestão de Projetos; Ferramenta Web, Universidade Federal da Fronteira 
Sul.
"
20,". E-mail, implantação, migração, G Suite, Zimbra, Nasnuvens, RNP.
"
21,". Dados Abertos, publicação, manipulação, Web.
"
22,". Integração, serviços, dados, API, web service.
"
23,": Sistema de documentação, Endereço I P, PHPIPAM.
"
24,": Acompanhamento de Projetos e Serviços, Sistema Integrado.
"
25,": Inovação. Gestão de Processos. Sistema de Informação. Sei!
"
26,": métodos ágeis, Angular, Demoiselle, GitLab
"
27,": Segurança Pública, Segurança Institucional, Sistema de Segurança
"
28,": ETL, Telefonia Fixa, Business Intelligence (BI)
"
29,": Integração, SIAFI, Processo Batch
"
30,": Ordem de serviço. Sistema web. Sistema integrado ERP.
"
31,": Repositório Institucional, Universidade Digital.
"
32,": Artigos, Central de Ajuda e Tecnologia da Informação.
"
33,": Mapeamento de fluxo de valor; Interações; Universidades; Produção enxuta; Gestão pública.
"
34,": Gestão de Processos de Negócio; Divisão Orçamentária; Universidade.
"
35,": Gerenciamento de Processos de Negócio; BPMN; Indicadores; Melhoria Contínua; Gerenciamento 
de Serviços de TIC
"
36,": BPM, implementação de melhoria, graduação
"
37,": Gestão por Processos; Gestão de Riscos; Riscos.
"
38,": BPM, melhoria de processos, processo de pagamento
"
39,": Business Intelligence; Processos organizacionais; Power BI®.
"
40,": Processos de Negócio; Desenvolvimento de Sistemas; Regulamento de Graduação;
"
