,0
0,"
Este artigo tem como objetivo expor uma experiência da aplicação de uma tecnologia ágil de desenvolvimento de 
sistemas empregada na Universidade da Integração Internacional da Lusofonia Afro-Brasileira, visando a solução 
de um problema recorrente causado pela falta de automação de um processo tido como essencial na manutenção de 
bolsas e auxílios de assistência estudantil. Dentre os resultados obtidos é possível verificar a eficiência do método 
aplicado, bem como a rapidez na entrega da solução.
"
1,"
Este artigo tem como objetivo apresentar o processo de criação do novo Sistema de Avaliação de 
Desempenho (SAD) dos servidores técnicos-administrativos da Universidade Federal de Mato Grosso (UFMT). 
A insatisfação dos usuários com o antigo modelo de avaliação motivou a Secretaria de Gestão de Pessoas a 
buscar por mudanças urgentes, a fim de melhorar esse serviço no âmbito da UFMT. A Secretaria de Tecnologia 
da Informação da UFMT desenvolveu o novo SAD com apoio de uma equipe multidisciplinar, aplicando a 
metodologia ágil SCRUM com técnicas de Design Participativo, visando identificar aspectos de acessibilidade e 
usabilidade, e assim melhorar a experiência do usuário e ampliar o alcance do sistema.
Palavras-chave: Avaliação de desempenho. SCRUM. Acessibilidade.
"
2,"
A transparência pública está ligada diretamente com a eficiência na gestão e com a lisura das informações 
disponibilizadas pelos órgãos públicos. Neste sentido, a concepção de um sistema centralizado para tratamento, 
processamento e visualização de dados é fundamental, haja vista o grande volume de dados armazenados nos 
sistemas institucionais. A Plataforma Analisa UFG apresenta-se como uma proposta para atender esse objetivo, 
proporcionando uma abordagem facilitada para visualização de dados e informações por meio de painéis de 
indicadores e relatórios dinâmicos. Os resultados iniciais demonstram tanto o potencial da Plataforma quanto às 
dificuldades enfrentadas na validação dos dados. Percebe-se ainda a existência de uma maturidade institucional 
incipiente no que se refere à cultura de gestão de negócios baseada em dados.
"
3,"
Da necessidade de melhorar o acesso às informações das faturas telefônicas e consequentemente na gestão dos 
contratos de telefonia fixa e móvel, foi modelado um ambiente com Pentaho. Este ambiente tem por finalidade, 
eliminar a utilização de planilhas eletrônicas, que continuamente apresentam problemas devido ao grande volume 
de registros das faturas e o acumulo mensal necessário. O Pentaho contribuiu de forma significativa na análise 
destas faturas, resultando em uma melhor visualização das informações e gerenciamento do serviço de telefonia 
fixa e móvel.
Palavras-chave: Business Inteligence, Pentaho.
"
4,"
O presente artigo tem como objetivo apresentar um relato sobre a implantação de teste funcional automático de regressão pela equipe de qualidade e testes de software da UFPB. Para isso, foram adotadas algumas tecnologias open-source já existentes. Neste trabalho serão apresentadas experiências referente à utilização das ferramentas de testes em alguns módulos do Sistema Integrado de Gestão Acadêmica (SIGAA) implantado na UFPB, uma visão geral da configuração do ambiente para que os testes pudessem ser executados periodicamente, a motivação para seleção dos casos de teste para o tipo de teste em comento, os defeitos encontrados após a execução habitual destes testes, problemas enfrentados e algumas soluções encontradas.
Palavras-chave: Testes de Software; Teste de Regressão; Testes Automáticos;
"
5,"
Este artigo descreve a experiência do Centro de Computação da UFMG no desenvolvimento de um aplicativo 
acadêmico voltado para os graduandos da UFMG. A metodologia envolveu o estudo das tecnologias existentes, 
a construção de um piloto e o desenvolvimento do aplicativo. O Siga UFMG, em sua versão inicial, reproduziu 
as funcionalidades mais acessadas nos sistemas acadêmicos da UFMG: matrículas, ocorrências, notas e faltas, 
comprovante de matrícula, plano de estudos e alguns relatórios. Foi criada uma visualização da carteira de 
identificação do aluno e notificações que sinalizam alterações nas matrículas e vida acadêmica do discente. O 
projeto incentivou a busca de novos conhecimentos pela equipe perpassando por novas linguagens de programação, 
configuração de plataformas e ambientes, desenho e análise, experiência do usuário (UX), técnicas de teste em 
emuladores e dispositivos móveis, documentação e publicação nas lojas de aplicativos. 
Palavras-chave: Aplicativo. React Native. Siga UFMG.
"
6,"
Um dos serviços disponibilizados para a comunidade acadêmica dentro da Universidade Federal do Amazonas 
(UFAM) é o acesso à Internet sem fio (Wi-fi). Devido às características da região em que se encontra, esse acesso pode 
sofrer interferências como chuvas em excesso, rompimento de fibra óptica e, falhas na transmissão do serviço que 
provocam a sensação de má prestação no serviço por parte do Centro de Tecnologia da Informação e Comunicação 
(CTIC) Este trabalho apresenta uma análise de sentimentos feita a partir de tweets publicados por usuários da 
UFAM. Para isso utilizou-se de técnicas de Reconhecimento de Entidades para realizar a detecção e classificação de 
palavras em bases textuais coletadas do Twitter.
"
7,"
Este artigo descreve a implantação do software GLPI na Diretoria de Tecnologia da Informação da UFVJM de 
forma modularizada e estruturada hierarquicamente visando uma melhor gestão de chamados sem comprometer 
a usabilidade do usuário final durante o ciclo de vida de suas solicitações. O sistema foi adaptado levando em 
consideração o refinamento realizado no catálogo de serviços da DTI, automatizando várias etapas de triagem de 
chamados e desburocratizando o processo de abertura e aprovação dos mesmos através da utilização de formulários 
personalizados. Os resultados são elencados através do feedback dos usuários, por meio da pesquisa de satisfação 
interna, e a visualização de dados gráficos providos pelas métricas do sistema.
Palavras-chave: glpi, atendimento, suporte, usabilidade, catálogo de serviços
"
8,"
A Universidade Federal da Fronteira Sul (UFFS) desde a sua implantação fazia uso de uma infraestrutura de 
telefonia híbrida, com expressivo quantitativo de ramais analógicos e tecnologia proprietária, realidade que ao 
longo dos anos apresentou dificuldades de sustentação e ampliação. Este trabalho apresenta o estudo e a solução 
adotada na Universidade Federal da Fronteira Sul para superar as dificuldades de escalabilidade e a reestruturação 
para uma infraestrutura de telefonia baseada na tecnologia Voz sobre IP (VoIP).
Palavras-chave: SIP, VoIP, Telefonia, Asterisk, Voz sobre IP.
"
9,"
A Governança de TI surgiu com o propósito de alinhar a TI aos negócios, promovendo assim um maior controle dos 
ativos de TI e melhorando o gerenciamento de serviços. No caso específico da UFAL campus Arapiraca, foi adotada 
a biblioteca ITIL, instanciada no GLPI. Apesar dos ganhos percebidos na implantação do sistema de service desk, 
verificou-se que ainda existe uma dificuldade por parte da comunidade acadêmica em identificar os serviços os 
quais ela desejava atendimento. Assim, o objetivo do trabalho é desenvolver um catálogo de serviços de TI, integrado 
ao service desk já existente, garantindo uma maior autonomia aos usuários para registrar suas demandas de 
forma simples, rápida e prática. Como resultados preliminares, podemos destacar a redução do tempo de espera no 
atendimento e diminuição do número de ligações referente à solicitação de serviços.
Palavras-chave: Governança, ITIL, Service Desk.
"
